country,date,policy
Belgium,1/1/2020,0
Belgium,1/2/2020,0
Belgium,1/3/2020,0
Belgium,1/4/2020,0
Belgium,1/5/2020,0
Belgium,1/6/2020,0
Belgium,1/7/2020,0
Belgium,1/8/2020,0
Belgium,1/9/2020,0
Belgium,1/10/2020,0
Belgium,1/11/2020,0
Belgium,1/12/2020,0
Belgium,1/13/2020,0
Belgium,1/14/2020,0
Belgium,1/15/2020,0
Belgium,1/16/2020,0
Belgium,1/17/2020,0
Belgium,1/18/2020,0
Belgium,1/19/2020,0
Belgium,1/20/2020,0
Belgium,1/21/2020,0
Belgium,1/22/2020,0
Belgium,1/23/2020,0
Belgium,1/24/2020,0
Belgium,1/25/2020,0
Belgium,1/26/2020,0
Belgium,1/27/2020,0
Belgium,1/28/2020,0
Belgium,1/29/2020,0
Belgium,1/30/2020,0
Belgium,1/31/2020,0
Belgium,2/1/2020,0
Belgium,2/2/2020,0
Belgium,2/3/2020,0
Belgium,2/4/2020,0
Belgium,2/5/2020,0
Belgium,2/6/2020,0
Belgium,2/7/2020,0
Belgium,2/8/2020,0
Belgium,2/9/2020,0
Belgium,2/10/2020,0
Belgium,2/11/2020,0
Belgium,2/12/2020,0
Belgium,2/13/2020,0
Belgium,2/14/2020,0
Belgium,2/15/2020,0
Belgium,2/16/2020,0
Belgium,2/17/2020,0
Belgium,2/18/2020,0
Belgium,2/19/2020,0
Belgium,2/20/2020,0
Belgium,2/21/2020,0
Belgium,2/22/2020,0
Belgium,2/23/2020,0
Belgium,2/24/2020,0
Belgium,2/25/2020,0
Belgium,2/26/2020,0
Belgium,2/27/2020,0
Belgium,2/28/2020,0
Belgium,2/29/2020,0
Belgium,3/1/2020,0
Belgium,3/2/2020,0
Belgium,3/3/2020,0
Belgium,3/4/2020,0
Belgium,3/5/2020,0
Belgium,3/6/2020,0
Belgium,3/7/2020,0
Belgium,3/8/2020,0
Belgium,3/9/2020,0
Belgium,3/10/2020,0
Belgium,3/11/2020,0
Belgium,3/12/2020,0
Belgium,3/13/2020,0
Belgium,3/14/2020,0
Belgium,3/15/2020,0
Belgium,3/16/2020,0
Belgium,3/17/2020,0
Belgium,3/18/2020,2
Belgium,3/19/2020,2
Belgium,3/20/2020,2
Belgium,3/21/2020,2
Belgium,3/22/2020,2
Belgium,3/23/2020,2
Belgium,3/24/2020,2
Belgium,3/25/2020,2
Belgium,3/26/2020,2
Belgium,3/27/2020,2
Belgium,3/28/2020,2
Belgium,3/29/2020,2
Belgium,3/30/2020,2
Belgium,3/31/2020,2
Belgium,4/1/2020,2
Belgium,4/2/2020,2
Belgium,4/3/2020,2
Belgium,4/4/2020,2
Belgium,4/5/2020,2
Belgium,4/6/2020,2
Belgium,4/7/2020,2
Belgium,4/8/2020,2
Belgium,4/9/2020,2
Belgium,4/10/2020,2
Belgium,4/11/2020,2
Belgium,4/12/2020,2
Belgium,4/13/2020,2
Belgium,4/14/2020,2
Belgium,4/15/2020,2
Belgium,4/16/2020,2
Belgium,4/17/2020,2
Belgium,4/18/2020,2
Belgium,4/19/2020,2
Belgium,4/20/2020,2
Belgium,4/21/2020,2
Belgium,4/22/2020,2
Belgium,4/23/2020,2
Belgium,4/24/2020,2
Belgium,4/25/2020,2
Belgium,4/26/2020,2
Belgium,4/27/2020,2
Belgium,4/28/2020,2
Belgium,4/29/2020,2
Belgium,4/30/2020,2
Belgium,5/1/2020,2
Belgium,5/2/2020,2
Belgium,5/3/2020,2
Belgium,5/4/2020,2
Belgium,5/5/2020,2
Belgium,5/6/2020,2
Belgium,5/7/2020,2
Belgium,5/8/2020,2
Belgium,5/9/2020,2
Belgium,5/10/2020,2
Belgium,5/11/2020,2
Belgium,5/12/2020,2
Belgium,5/13/2020,2
Belgium,5/14/2020,2
Belgium,5/15/2020,2
Belgium,5/16/2020,2
Belgium,5/17/2020,2
Belgium,5/18/2020,2
Belgium,5/19/2020,2
Belgium,5/20/2020,2
Belgium,5/21/2020,2
Belgium,5/22/2020,2
Belgium,5/23/2020,2
Belgium,5/24/2020,2
Belgium,5/25/2020,2
Belgium,5/26/2020,2
Belgium,5/27/2020,2
Belgium,5/28/2020,2
Belgium,5/29/2020,2
Belgium,5/30/2020,2
Belgium,5/31/2020,2
Belgium,6/1/2020,2
Belgium,6/2/2020,2
